SalesOrderID	SalesOrderDetailID	ProductID	OrderQty	UnitPrice	UnitPriceDiscount
43659	1	776	1	2024.994	0
43659	2	777	3	2024.994	0
43659	3	778	1	2024.994	0
43659	4	771	1	2039.994	0
43659	5	772	1	2039.994	0
43659	6	773	2	2039.994	0
43659	7	774	1	2039.994	0
43659	8	714	3	28.8404	0
43659	9	716	1	28.8404	0
43659	10	709	6	5.7	0
43659	11	712	2	5.1865	0
43659	12	711	4	20.1865	0
43660	13	762	1	419.4589	0
43660	14	758	1	874.794	0
43661	15	745	1	809.76	0
43661	16	743	1	714.7043	0
43661	17	747	2	714.7043	0
43661	18	712	4	5.1865	0
43661	19	715	4	28.8404	0
43661	20	742	2	722.5949	0
43661	21	775	3	2024.994	0
43661	22	778	2	2024.994	0
43661	23	711	2	20.1865	0
43661	24	741	2	818.7	0
43661	25	776	4	2024.994	0
43661	26	773	2	2039.994	0
43661	27	716	2	28.8404	0
43661	28	777	2	2024.994	0
43661	29	708	5	20.1865	0
43662	30	764	3	419.4589	0
43662	31	770	5	419.4589	0
43662	32	730	2	183.9382	0
43662	33	754	4	874.794	0
43662	34	725	3	183.9382	0
43662	35	762	5	419.4589	0
43662	36	765	3	419.4589	0
43662	37	768	2	419.4589	0
43662	38	753	1	2146.962	0
43662	39	756	1	874.794	0
43662	40	763	3	419.4589	0
43662	41	732	1	356.898	0
43662	42	758	6	874.794	0
43662	43	729	1	183.9382	0
43662	44	722	3	178.5808	0
43662	45	749	1	2146.962	0
43662	46	760	3	419.4589	0
43662	47	726	1	183.9382	0
43662	48	733	1	356.898	0
43662	49	738	1	178.5808	0
43662	50	766	3	419.4589	0
43662	51	755	1	874.794	0
43663	52	760	1	419.4589	0
43664	53	772	1	2039.994	0
43664	54	775	4	2024.994	0
43664	55	714	1	28.8404	0
43664	56	716	1	28.8404	0
43664	57	777	2	2024.994	0
43664	58	771	3	2039.994	0
43664	59	773	1	2039.994	0
43664	60	778	1	2024.994	0
43665	61	711	2	20.1865	0
43665	62	773	1	2039.994	0
43665	63	707	1	20.1865	0
43665	64	715	2	28.8404	0
43665	65	777	2	2024.994	0
43665	66	712	2	5.1865	0
43665	67	775	2	2024.994	0
43665	68	778	1	2024.994	0
43665	69	709	6	5.7	0
43665	70	776	1	2024.994	0
43666	71	764	1	419.4589	0
43666	72	753	1	2146.962	0
43666	73	732	1	356.898	0
43666	74	756	1	874.794	0
43666	75	768	2	419.4589	0
43666	76	766	1	419.4589	0
43667	77	710	3	5.7	0
43667	78	773	1	2039.994	0
43667	79	778	1	2024.994	0
43667	80	775	1	2024.994	0
43668	81	756	3	874.794	0
43668	82	753	2	2146.962	0
43668	83	760	7	419.4589	0
43668	84	765	6	419.4589	0
43668	85	715	6	28.8404	0
43668	86	730	6	183.9382	0
43668	87	707	2	20.1865	0
43668	88	711	2	20.1865	0
43668	89	754	2	874.794	0
43668	90	712	4	5.1865	0
43668	91	729	2	183.9382	0
43668	92	755	3	874.794	0
43668	93	761	3	419.4589	0
43668	94	770	2	419.4589	0
43668	95	726	3	183.9382	0
43668	96	764	2	419.4589	0
43668	97	766	2	419.4589	0
43668	98	725	2	183.9382	0
43668	99	716	1	28.8404	0
43668	100	768	2	419.4589	0
43668	101	732	4	356.898	0
43668	102	758	6	874.794	0
43668	103	762	4	419.4589	0
43668	104	738	3	178.5808	0
43668	105	714	4	28.8404	0
43668	106	722	3	178.5808	0
43668	107	708	1	20.1865	0
43668	108	733	3	356.898	0
43668	109	763	3	419.4589	0
43669	110	747	1	714.7043	0
43670	111	710	1	5.7	0
43670	112	709	2	5.7	0
43670	113	773	2	2039.994	0
43670	114	776	1	2024.994	0
43671	115	753	1	2146.962	0
43671	116	714	2	28.8404	0
43671	117	756	1	874.794	0
43671	118	768	2	419.4589	0
43671	119	732	2	356.898	0
43671	120	763	2	419.4589	0
43671	121	755	2	874.794	0
43671	122	764	2	419.4589	0
43671	123	716	1	28.8404	0
43671	124	711	1	20.1865	0
43671	125	708	1	20.1865	0
43672	126	709	6	5.7	0
43672	127	776	2	2024.994	0
43672	128	774	1	2039.994	0
43673	129	754	1	874.794	0
43673	130	715	3	28.8404	0
43673	131	729	1	183.9382	0
43673	132	761	2	419.4589	0
43673	133	762	1	419.4589	0
43673	134	738	2	178.5808	0
43673	135	770	2	419.4589	0
43673	136	712	1	5.1865	0
43673	137	708	2	20.1865	0
43673	138	711	1	20.1865	0
43673	139	707	4	20.1865	0
43674	140	758	3	874.794	0
43675	141	761	4	419.4589	0
43675	142	711	5	20.1865	0
43675	143	738	2	178.5808	0
43675	144	708	1	20.1865	0
43675	145	762	2	419.4589	0
43675	146	758	2	874.794	0
43675	147	712	2	5.1865	0
43675	148	754	1	874.794	0
43675	149	715	3	28.8404	0
43676	150	776	2	2024.994	0
43676	151	778	2	2024.994	0
43676	152	710	1	5.7	0
43676	153	775	3	2024.994	0
43676	154	709	4	5.7	0
43677	155	715	3	28.8404	0
43677	156	753	1	2146.962	0
43677	157	758	1	874.794	0
43677	158	770	1	419.4589	0
43677	159	708	2	20.1865	0
43677	160	760	4	419.4589	0
43677	161	765	2	419.4589	0
43677	162	763	1	419.4589	0
43677	163	712	5	5.1865	0
43677	164	707	1	20.1865	0
43677	165	754	1	874.794	0
43677	166	729	2	183.9382	0
43678	167	760	1	419.4589	0
43678	168	738	2	178.5808	0
43678	169	765	1	419.4589	0
43678	170	732	2	356.898	0
43678	171	762	3	419.4589	0
43678	172	761	2	419.4589	0
43678	173	712	3	5.1865	0
43678	174	708	4	20.1865	0
43678	175	729	2	183.9382	0
43678	176	756	1	874.794	0
43678	177	725	2	183.9382	0
43678	178	716	1	28.8404	0
43678	179	770	1	419.4589	0
